transaction_id,user_id,receiver_id,receiver_type,amount,timestamp,date,hour_of_day,day_of_week,is_weekend,is_night_transaction,time_since_last_txn_min,transaction_type,payment_app,device_type,status,user_city_tier,user_kyc_status,user_avg_monthly_txn,user_avg_txn_value,user_loyalty_score,new_device_flag,ip_location_mismatch,failed_attempts_last_24h,transaction_velocity,amount_deviation_score,is_fraud,recurring_payment_flag,balance_after_transaction,transaction_frequency_score
TXN0013171,USR01949,MRC0069,Merchant,1533.88,01/01/24 0:21,01/01/24,0,Monday,0,1,-30240.6,EMI,Paytm,Android,Success,Tier 2,Verified,36,472.44,0.194,0,0,2,0,2.2467,0,1,36023.96,0.72
TXN0006480,USR01975,MRC0048,Merchant,1371.57,01/01/24 0:36,01/01/24,0,Monday,0,1,-351322.38,P2M,Paytm,Web,Success,Tier 2,Verified,34,629.94,0.213,0,0,0,4,1.1773,0,0,65138.89,0.68
TXN0001430,USR01127,MRC0312,Merchant,500.5,01/01/24 0:47,01/01/24,0,Monday,0,1,-60756.05,Subscription,Amazon Pay,iOS,Success,Tier 1,Verified,43,436.3,0.381,0,0,0,1,0.1471,0,1,69347.11,0.86
TXN0003501,USR00827,USR01877,User,724.05,01/01/24 0:52,01/01/24,0,Monday,0,1,-262998.52,P2P,WhatsApp Pay,Android,Success,Tier 1,Verified,62,278.28,0.238,0,0,1,0,1.6019,0,0,52305.43,1
TXN0004423,USR00673,USR00534,User,128.22,01/01/24 1:22,01/01/24,1,Monday,0,1,-418835,P2P,GPay,iOS,Success,Tier 3,Verified,24,185.17,0.187,0,0,5,1,0.3076,0,0,9601.13,0.48
TXN0000496,USR00081,MRC0315,Merchant,650.65,01/01/24 1:59,01/01/24,1,Monday,0,1,,P2M,Paytm,iOS,Success,Tier 1,Verified,77,705.43,0.826,0,0,0,0,0.0777,0,0,9049.31,1
TXN0015575,USR01737,MRC0267,Merchant,1572.38,01/01/24 2:28,01/01/24,2,Monday,0,1,-34061.52,Recharge,PhonePe,Web,Success,Tier 1,Verified,68,1189.92,0.256,0,0,1,2,0.3214,0,0,78567.12,1
TXN0018128,USR00432,MRC0138,Merchant,1266.2,01/01/24 2:28,01/01/24,2,Monday,0,1,-35453.3,P2M,GPay,Android,Success,Tier 1,Verified,32,665.39,0.981,0,0,0,0,0.9029,0,0,75070.54,0.64
TXN0002096,USR00239,USR01597,User,1547.49,01/01/24 3:00,01/01/24,3,Monday,0,1,-249761.9,P2P,PhonePe,Android,Success,Tier 1,Verified,53,1866.71,0.186,0,0,0,0,0.171,0,0,69923.05,1
TXN0006094,USR00546,MRC0157,Merchant,324.7,01/01/24 4:07,01/01/24,4,Monday,0,1,-386261.98,EMI,PhonePe,Android,Success,Tier 1,Verified,50,547.49,0.629,0,0,0,1,0.4069,0,1,17733.39,1
TXN0018909,USR00949,MRC0202,Merchant,356.43,01/01/24 4:53,01/01/24,4,Monday,0,1,-432072.18,Recharge,Paytm,Android,Failed,Tier 3,Verified,25,439.53,0.457,0,0,0,0,0.1891,0,0,21099.56,0.5
TXN0010850,USR00460,MRC0332,Merchant,669.85,01/01/24 5:19,01/01/24,5,Monday,0,1,-108475.2,EMI,GPay,Android,Success,Tier 2,Verified,41,1429.15,0.307,0,0,0,0,0.5313,0,1,72412.79,0.82
